Время (с),A0 (В),A2 (В)
250.52771043777466,2.490,2.235
250.53171277046204,2.510,2.118
250.5357129573822,2.471,2.294
250.5357129573822,2.471,2.353
250.5397129058838,2.471,2.157
250.54371571540833,2.490,2.255
250.54773211479187,2.490,2.275
250.5487186908722,2.490,2.235
250.5527548789978,2.529,2.235
250.55673170089722,2.510,2.392
250.56024527549744,2.510,2.373
250.56024527549744,2.569,2.216
250.5642638206482,2.588,2.333
250.56826376914978,2.569,2.294
250.57278847694397,2.569,2.275
250.57278847694397,2.510,2.275
250.57678866386414,2.471,2.510
250.58078861236572,2.451,2.451
250.58078861236572,2.412,2.431
250.58540678024292,2.392,2.490
250.5894057750702,2.392,2.451
250.59299230575562,2.373,2.451
250.59299230575562,2.353,2.490
250.59801483154297,2.353,2.588
250.60103631019592,2.373,2.392
250.60604166984558,2.412,2.353
250.60604166984558,2.431,2.294
250.6100537776947,2.451,2.216
250.61406922340393,2.510,2.118
250.61805367469788,2.529,2.235
250.61805367469788,2.569,2.235
250.6215796470642,2.569,2.118
250.62557888031006,2.608,2.176
250.62657356262207,2.627,2.157
250.62966680526733,2.627,2.157
250.63465523719788,2.627,2.235
250.6386649608612,2.588,2.392
250.6386649608612,2.569,2.373
250.6426751613617,2.549,2.510
250.64666724205017,2.569,2.608
250.65066742897034,2.549,2.667
250.65066742897034,2.549,2.706
250.65466737747192,2.549,2.765
250.65866804122925,2.510,2.882
250.6626672744751,2.510,2.706
250.6626672744751,2.510,2.667
250.66666507720947,2.490,2.569
250.67066764831543,2.451,2.412
250.67165684700012,2.471,2.255
250.67565512657166,2.451,2.196
250.6786653995514,2.490,2.118
250.68377089500427,2.510,1.863
250.68377089500427,2.569,1.843
250.6870572566986,2.608,1.804
250.69104719161987,2.647,1.804
250.69605493545532,2.647,1.843
250.69605493545532,2.667,2.000
250.7000572681427,2.647,1.922
250.7040572166443,2.627,1.882
250.70817017555237,2.608,1.941
250.70817017555237,2.608,1.922
250.7122519016266,2.569,1.902
250.7162516117096,2.510,2.059
250.7162516117096,2.471,2.294
250.72025203704834,2.471,2.196
250.72444534301758,2.471,2.255
250.7284450531006,2.490,2.412
250.7284450531006,2.510,2.353
250.73244524002075,2.510,2.412
250.73655724525452,2.529,2.667
250.7405571937561,2.529,2.765
250.7405571937561,2.510,2.765
250.74464464187622,2.549,2.922
250.74873638153076,2.549,2.902
250.75277662277222,2.529,2.882
250.75277662277222,2.529,2.882
250.75673866271973,2.529,2.882
250.76073050498962,2.510,2.647
250.76172924041748,2.529,2.431
250.76480340957642,2.529,2.314
250.76889729499817,2.510,2.118
250.77344012260437,2.490,1.824
250.77344012260437,2.471,1.784
250.77743864059448,2.431,1.804
250.7820053100586,2.431,1.608
250.7860050201416,2.431,1.588
250.7860050201416,2.412,1.510
250.7900993824005,2.431,1.451
250.7940969467163,2.412,1.392
250.79854440689087,2.392,1.588
250.79854440689087,2.392,1.490
250.80256366729736,2.373,1.412
250.80668187141418,2.392,1.510
250.80668187141418,2.373,1.549
250.81067323684692,2.353,1.647
250.81468200683594,2.333,1.804
250.81868195533752,2.314,2.059
250.81868195533752,2.294,2.098
250.82229328155518,2.294,2.196
250.8262813091278,2.294,2.314
250.8312931060791,2.314,2.333
250.8312931060791,2.333,2.353
250.8352930545807,2.314,2.549
250.8393862247467,2.314,2.725
250.84341597557068,2.314,2.647
250.84341597557068,2.294,2.765
250.84749746322632,2.314,2.941
250.85149931907654,2.275,2.863
250.85149931907654,2.255,3.020
250.85588598251343,2.255,3.059
250.85914611816406,2.235,3.059
250.86415028572083,2.196,3.020
250.86415028572083,2.235,3.118
250.8681457042694,2.235,3.000
250.87223315238953,2.255,2.843
250.87623357772827,2.275,2.765
250.87623357772827,2.255,2.686
250.88023400306702,2.275,2.314
250.8842327594757,2.275,2.020
250.88843607902527,2.314,1.804
250.88947439193726,2.294,1.667
250.89245414733887,2.333,1.569
250.8964545726776,2.294,1.667
250.8964545726776,2.294,1.843
250.90045642852783,2.294,1.784
250.90445566177368,2.333,2.020
250.9084734916687,2.333,2.059
250.9084734916687,2.353,2.039
250.9124734401703,2.392,2.059
250.91656923294067,2.353,2.216
250.9211049079895,2.353,2.176
250.9211049079895,2.353,2.078
250.92509078979492,2.333,2.176
250.92910265922546,2.353,2.176
250.93321537971497,2.353,2.196
250.93421125411987,2.373,2.255
250.93749022483826,2.353,2.569
250.94149017333984,2.373,2.490
250.94149017333984,2.373,2.627
250.94549036026,2.373,2.824
250.94959044456482,2.353,2.784
250.95367693901062,2.353,2.882
250.95367693901062,2.353,2.941
250.9576768875122,2.333,3.020
250.96176505088806,2.353,2.843
250.96576595306396,2.373,2.922
250.96576595306396,2.392,2.922
250.96987295150757,2.392,2.941
250.9738748073578,2.392,3.098
250.9738748073578,2.353,3.275
250.97787499427795,2.373,3.333
250.9828748703003,2.392,3.235
250.98687505722046,2.392,3.255
250.98687505722046,2.431,3.098
250.99106669425964,2.451,2.961
250.9950976371765,2.451,2.784
250.9990975856781,2.431,2.765
250.9990975856781,2.451,2.353
251.0030975341797,2.471,2.039
251.00711488723755,2.490,1.765
251.01111936569214,2.490,1.451
251.01111936569214,2.490,1.157
251.0152292251587,2.510,1.078
251.01922917366028,2.510,1.059
251.01922917366028,2.510,0.843
251.02384495735168,2.549,0.882
251.0268576145172,2.569,0.922
251.03195142745972,2.549,0.882
251.03195142745972,2.608,0.980
251.03612422943115,2.549,1.137
251.0401475429535,2.549,1.255
251.04414796829224,2.510,1.176
251.04414796829224,2.490,1.373
251.0481481552124,2.431,1.451
251.05214762687683,2.412,1.529
251.05625200271606,2.373,1.627
251.05625200271606,2.353,1.980
251.060240983963,2.333,1.922
251.0643458366394,2.353,2.059
251.0643458366394,2.353,2.196
251.06835627555847,2.353,2.176
251.07247972488403,2.373,2.216
251.07646799087524,2.373,2.373
251.07646799087524,2.373,2.490
251.08055782318115,2.353,2.412
251.08455753326416,2.392,2.529
251.08867239952087,2.392,2.608
251.08867239952087,2.412,2.569
251.09267139434814,2.431,2.569
251.0968165397644,2.431,2.745
251.10082936286926,2.490,2.804
251.10182929039001,2.510,2.706
251.10496997833252,2.569,2.843
251.10898756980896,2.588,2.902
251.10997557640076,2.608,2.824
251.1139748096466,2.608,2.784
251.11798524856567,2.549,2.824
251.12162613868713,2.549,2.569
251.12162613868713,2.510,2.314
251.12562584877014,2.490,2.176
251.1296238899231,2.490,1.980
251.13362622261047,2.471,1.784
251.13462615013123,2.451,1.745
251.13772416114807,2.451,1.804
251.14172649383545,2.451,1.549
251.14572429656982,2.451,1.588
251.14679670333862,2.431,1.569
251.1508011817932,2.451,1.510
251.15491819381714,2.431,1.588
251.15491819381714,2.471,1.745
251.15891790390015,2.490,1.706
251.1630027294159,2.490,1.608
251.16700387001038,2.510,1.725
251.16700387001038,2.529,1.745
251.17110228538513,2.510,1.627
251.17510175704956,2.471,1.667
251.17919373512268,2.451,1.961
251.17919373512268,2.431,1.902
251.18319416046143,2.412,1.961
251.1872112751007,2.431,2.118
251.19122791290283,2.451,2.118
251.19122791290283,2.431,2.216
251.19532704353333,2.451,2.333
251.19932675361633,2.451,2.510
251.19932675361633,2.451,2.333
251.20390677452087,2.451,2.412
251.20790696144104,2.490,2.431
251.21190690994263,2.510,2.275
251.21190690994263,2.510,2.294
251.21569681167603,2.490,2.392
251.2204430103302,2.490,2.314
251.2244894504547,2.490,2.235
251.2244894504547,2.510,2.275
251.22848892211914,2.471,2.294
251.23199558258057,2.431,2.196
251.23687052726746,2.412,2.235
251.23687052726746,2.353,2.412
251.24089407920837,2.373,2.255
251.24489402770996,2.333,2.275
251.24489402770996,2.353,2.314
251.2488934993744,2.353,2.235
251.25289368629456,2.373,2.235
251.25689387321472,2.392,2.255
251.25689387321472,2.392,2.373
251.2608940601349,2.431,2.216
251.26489400863647,2.490,2.176
251.26889395713806,2.510,2.294
251.26889395713806,2.529,2.216
