Время (с),A0 (В),A2 (В)
137.0573446750641,2.353,
137.06547474861145,2.294,
137.0734724998474,2.549,
137.08609819412231,2.353,
137.09419560432434,2.471,
137.10619354248047,2.235,
137.11429524421692,2.059,
137.12639164924622,1.745,
137.13539171218872,1.765,
137.14739227294922,1.784,
137.15539240837097,1.824,
137.1680929660797,1.725,
137.17616868019104,1.961,
137.1886956691742,2.098,
137.1968150138855,2.333,
137.20472979545593,2.314,
137.21674966812134,2.471,
137.2248523235321,2.510,
137.23984956741333,2.647,
137.24592971801758,2.588,
137.25803184509277,2.824,
137.2660472393036,2.882,
137.27826166152954,2.902,
137.28636121749878,2.980,
137.2993471622467,2.980,
137.3078532218933,2.961,
137.3191089630127,2.941,
137.3271963596344,3.098,
137.33619737625122,3.118,
137.34819626808167,3.176,
137.35619616508484,3.137,
137.36821365356445,3.235,
137.37630152702332,3.235,
137.3888144493103,3.294,
137.39681339263916,3.118,
137.40490555763245,3.059,
137.41798281669617,2.922,
137.4259808063507,2.784,
137.43807244300842,2.569,
137.4462788105011,2.529,
137.45827651023865,2.353,
137.46729159355164,2.314,
137.47929430007935,2.039,
137.4877405166626,1.941,
137.49587035179138,1.941,
137.50787043571472,2.020,
137.5158874988556,2.020,
137.52788758277893,2.078,
137.5360336303711,2.020,
137.54903435707092,2.118,
137.55664229393005,2.078,
137.56875324249268,2.157,
137.5777530670166,2.176,
137.58581805229187,2.255,
137.59795928001404,2.157,
137.60595965385437,2.176,
137.61795926094055,2.255,
137.62695837020874,2.412,
137.6391270160675,2.353,
137.64711999893188,2.549,
137.65912652015686,2.647,
137.66721105575562,2.843,
137.6802146434784,2.882,
137.68756079673767,2.922,
137.70054650306702,2.765,
137.70866107940674,2.843,
137.71666383743286,2.765,
137.7289125919342,2.804,
137.73702359199524,2.647,
137.74980974197388,2.647,
137.7579083442688,2.647,
137.76970267295837,2.765,
137.7777018547058,2.647,
137.79022860527039,2.627,
137.79832243919373,2.451,
137.81042981147766,2.275,
137.81943011283875,2.020,
137.83152318000793,1.902,
137.83976221084595,1.843,
137.84776186943054,1.843,
137.86025881767273,1.804,
137.86845541000366,1.980,
137.88078355789185,2.098,
137.88898086547852,2.314,
137.90099167823792,2.392,
137.90908765792847,2.490,
137.91719818115234,2.451,
137.92919898033142,2.627,
137.9379322528839,2.569,
137.95042824745178,2.627,
137.95816445350647,2.608,
137.97070622444153,2.647,
137.97871661186218,2.471,
137.9912407398224,2.510,
137.99976229667664,2.392,
138.01170444488525,2.451,
138.01984214782715,2.451,
138.03217005729675,2.490,
138.04028034210205,2.471,
138.04854440689087,2.510,
138.06054210662842,2.392,
138.06856203079224,2.431,
138.08092403411865,2.529,
138.089013338089,2.627,
138.10201954841614,2.569,
138.1100127696991,2.627,
138.1225745677948,2.490,
138.13072776794434,2.333,
138.1431999206543,2.255,
138.15127658843994,2.314,
138.16391491889954,2.294,
138.17093348503113,2.314,
138.17993330955505,2.412,
138.19147443771362,2.451,
138.19967818260193,2.471,
138.2118821144104,2.510,
138.22096991539001,2.588,
138.23309969902039,2.549,
138.24110007286072,2.431,
138.25355076789856,2.392,
138.2616310119629,2.392,
138.26973176002502,2.510,
138.2822675704956,2.686,
138.29045343399048,2.941,
138.3019757270813,3.098,
138.31108856201172,3.294,
138.3229537010193,3.176,
138.3319435119629,3.118,
138.34305262565613,2.745,
138.35148668289185,2.745,
138.36348676681519,2.667,
138.37249445915222,2.608,
138.3840136528015,2.333,
138.3930127620697,2.373,
138.401109457016,2.353,
138.4130997657776,2.373,
138.4210982322693,2.235,
138.43309926986694,2.235,
138.44124245643616,2.000,
138.45415782928467,2.039,
138.46215987205505,1.980,
138.47016763687134,1.980,
138.48216676712036,1.922,
138.49139642715454,2.020,
138.5034999847412,2.039,
138.51149940490723,2.235,
138.52407026290894,2.196,
138.53165364265442,2.392,
138.54382705688477,2.510,
138.55242013931274,2.667,
138.5604202747345,2.510,
138.572425365448,2.627,
138.58150172233582,2.667,
138.59357070922852,2.843,
138.60157132148743,2.745,
138.6135709285736,2.745,
138.62157225608826,2.569,
138.6346516609192,2.627,
138.6429626941681,2.569,
